tile_name,tile_path,paved_plaza_surface_area,paved_plaza_surface_count,paved_plaza_surface_conf,isolated_walkway_area,isolated_walkway_count,isolated_walkway_conf,meandering_sidewalk_area,meandering_sidewalk_count,meandering_sidewalk_conf,fragmented_sidewalk_area,fragmented_sidewalk_count,fragmented_sidewalk_conf,isolated_roadway_area,isolated_roadway_count,isolated_roadway_conf,vegetated_ground_surface_area,vegetated_ground_surface_count,vegetated_ground_surface_conf,road_marking_surface_area,road_marking_surface_count,road_marking_surface_conf,paved_plaza_surface_area_px,isolated_walkway_area_px,meandering_sidewalk_area_px,fragmented_sidewalk_area_px,isolated_roadway_area_px,vegetated_ground_surface_area_px,road_marking_surface_area_px
158598_194018,tiles/158598_194018.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.9377,1,0.9352,0.0,0,0.0,0,0,0,0,0,61453,0
158598_194019,tiles/158598_194019.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.9931,1,0.9198,0.0,0,0.0,0,0,0,0,0,65083,0
158598_194020,tiles/158598_194020.jpg,0.0,0,0.0,0.0888,1,0.5367,0.0,0,0.0,0.0,0,0.0,0.094,1,0.6709,0.8406,1,0.9283,0.0,0,0.0,0,5819,0,0,6160,55089,0
158598_194021,tiles/158598_194021.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.994,1,0.9557,0.0,0,0.0,0,0,0,0,0,65142,0
158598_194022,tiles/158598_194022.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.9981,1,0.9357,0.0,0,0.0,0,0,0,0,0,65411,0
158598_194023,tiles/158598_194023.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.9977,1,0.9435,0.0,0,0.0,0,0,0,0,0,65385,0
158598_194024,tiles/158598_194024.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.995,1,0.9127,0.0,0,0.0,0,0,0,0,0,65208,0
158598_194025,tiles/158598_194025.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.9904,1,0.9066,0.0,0,0.0,0,0,0,0,0,64906,0
158598_194026,tiles/158598_194026.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.02,1,0.5085,0.9956,1,0.9429,0.0,0,0.0,0,0,0,0,1310,65247,0
158598_194027,tiles/158598_194027.jpg,0.0,0,0.0,0.0214,1,0.5354,0.0,0,0.0,0.0,0,0.0,0.0535,2,0.7314,0.7123,1,0.9219,0.0089,1,0.5863,0,1402,0,0,3506,46681,583
158598_194028,tiles/158598_194028.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.164,2,0.6398,0.5461,3,0.6803,0.0491,3,0.5913,0,0,0,0,10747,35789,3217
158598_194029,tiles/158598_194029.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.7137,1,0.9103,0.0,0,0.0,0,0,0,0,0,46773,0
158598_194030,tiles/158598_194030.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.9973,1,0.9453,0.0,0,0.0,0,0,0,0,0,65359,0
158598_194031,tiles/158598_194031.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.9088,1,0.8526,0.0,0,0.0,0,0,0,0,0,59559,0
158598_194032,tiles/158598_194032.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.9562,2,0.8683,0.0,0,0.0,0,0,0,0,0,62665,0
158598_194033,tiles/158598_194033.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.9921,1,0.975,0.0,0,0.0,0,0,0,0,0,65018,0
158598_194034,tiles/158598_194034.jpg,0.0,0,0.0,0.0321,1,0.7955,0.0329,1,0.6852,0.0,0,0.0,0.033,1,0.767,0.948,1,0.7637,0.0,0,0.0,0,2103,2156,0,2162,62128,0
158598_194035,tiles/158598_194035.jpg,0.0,0,0.0,0.0565,3,0.7278,0.0565,3,0.6637,0.0,0,0.0,0.0577,3,0.622,0.9147,2,0.7346,0.0,0,0.0,0,3702,3702,0,3781,59945,0
